collectionid,title,description,creator,donor,date,date is approximate,subject,location,location (lcsh),latitude,longitude,relation,publisher,source,identifier,rights,format original,type,format,language,rightsstatement,cdmid,objectid,original-objectid,reference_url
plcphotos,Ceiling made of Potlatch lumber,The entrance way into a home where the ceiling and entrance overhang are made from Potlatch lumber.,,,1955,yes,ceilings; houses,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.429072,-116.978597,,,"MG 457, Box 204 Folder 92, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_204_92_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,882,lewiston-plc020,plcphotos882,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos882.html
plcphotos,Cleaning the floor,"A man stands on the steps to his bunk house with a broom in one hand and a dust pan in the other. All down the row, steps can be seen into each bunkhouse.",,,1930,yes,bunkhouses; dry cleaning,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 95, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_95_009,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,887,lewiston-plc021,plcphotos887,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos887.html
plcphotos,Tools of the trade,"A photograph of many of the tools a lumberjack may use while working in the forest.  At the top is a two-person saw; leaning against the backdrop is a sleeping pack, a shovel, and two types of axes. Also in the kit is some sort of sprayer.",,,1930,yes,saws; axes (tools); sleeping bags,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 95, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_95_011,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,888,lewiston-plc022,plcphotos888,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos888.html
plcphotos,Construction template work,A man works on a piece of part of a building using a construction template. Two other men stand in behind him.,,,1950-09-20,,construction sites,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.430754,-116.97086,,,"MG 457, Box 205 Folder 98, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_98_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,912,lewiston-plc023,plcphotos912,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos912.html
plcphotos,Showing a model,Men stand behind a model of Potlatch logging area.,,,1950,yes,models (representations); groups of people,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,926,lewiston-plc024,plcphotos926,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos926.html
plcphotos,What products PFI makes,A display showing all the different paper products that Potlatch Forests makes as well as displaying information about the tours that PFI gives.,,,1965,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,927,lewiston-plc025,plcphotos927,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos927.html
plcphotos,Display of growth studies,"A display of the growth studies conducted by Dixon Nurseries in Clarkston, Washington. In the display are a number of flowers being grown with and/or without Potlatch garden-lawn food. Next to the display are bags of Potlatch lawn food.",,,1965,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,928,lewiston-plc026,plcphotos928,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos928.html
plcphotos,Display of improved fire tools,"Men, women, and children stand in front of a model displaying the &quot;Improved Fire Tools&quot; of forest management. The model includes three different areas: access roads, radio communications, and aircraft. Off to the right hand side of the model some tools of forest firefighters and communication devices.",,,1965,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,929,lewiston-plc027,plcphotos929,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos929.html
plcphotos,Poster display,"A poster displaying the Industrial Relations Division of Potlatch Forests, INC.",,,1965,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,930,lewiston-plc028,plcphotos930,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos930.html
plcphotos,Research project,"A research project at the University of Idaho which was sponsored by Potlatch Forests, INC",,,1965,yes,display types,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425426,-116.96822,,,"MG 457, Box 205 Folder 126, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_126_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,931,lewiston-plc029,plcphotos931,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos931.html
plcphotos,Mill site before the mill,"Site of the Lewiston Paper mill. Written on the photograph it says the photo is taken from the south bank, so it is looking north across the Clearwater river. Stamped on the back of the photograph is J.F. Anderson, Photo. Phone 1445-J",,"Anderson, J. F.",1926-04-08,,landscapes (environments),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.424213,-116.98351,,,"MG 457, Box 205 Folder 94, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_94_003,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,940,lewiston-plc030,plcphotos940,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos940.html
plcphotos,Logging town,One of the towns that formed due to the logging industry.,,,1940,yes,company towns; towns,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 94, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_94_004,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,941,lewiston-plc031,plcphotos941,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos941.html
plcphotos,Early rail loader,An early rail crane loader. Note attached to photograph says it is from the Oliver Machinery Co.,,,1930,yes,machinery; locomotive cranes; flatcars,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 94, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_94_005,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,942,lewiston-plc032,plcphotos942,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos942.html
plcphotos,Building the South End Dyke,Tractors pulling trailers remove dirt from the south end dyke at the Lewiston Mill.,,,1926-10-17,,tractors (agricultural equipment); trailers (vehicles); construction equipment; construction sites,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 94, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_94_006,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,943,lewiston-plc033,plcphotos943,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos943.html
plcphotos,Men going to work,Men run to get into pickup trucks already filled with men.,,,1930,yes,pickups (trucks),United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 95, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_95_007,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,950,lewiston-plc034,plcphotos950,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos950.html
plcphotos,Standing in front of the office,A man stands in front of the office of probably a lumber camp. The sign above him reads &#39;Office brush disposal&#39;. In front of him is a bulletin board with several notices and pieces of paper.,,,1940,yes,bulletin boards,United States;Idaho;Nez Perce County,United States;Idaho;Nez Perce County,46.425103,-116.965175,,,"MG 457, Box 205 Folder 95, http://archiveswest.orbiscascade.org/ark:/80444/xv40829/op=fstyle.aspx?t=k&amp;q=MG+457&amp;c=ntd",457_205_95_008,"Potlatch Corporation retains all rights in any trade name, or trademark of Potlatch Corporation related to these Items, and copyright to company magazines and newsletters until such copyrights transfer into the public domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",black and white photographs,image;stillimage,image/jpg,eng,http://rightsstatements.org/vocab/InC/1.0/,951,lewiston-plc035,plcphotos951,https://www.lib.uidaho.edu/digital/plcphotos/items/plcphotos951.html
